职位,城市,区域,街道,公司,薪资,经验,学历,领域,融资,规模,技能要求,基本福利
python高级开发工程师,广州,黄埔区,大沙,广州好智,8-13K,3-5年,本科,互联网,未融资,20-99人,,"通讯补贴,绩效奖金,节日福利,全勤奖,年终奖,股票期权,定期体检,保底工资,员工旅游,底薪加提成,餐补,零食下午茶,带薪年假"
python开发,广州,番禺区,番禺广场,广州瞬宇科技有限公司,10-15K,3-5年,大专,计算机软件,未融资,20-99人,"Python,Kafka,Django,Selenium,Numpy,PostgreSQL,Redis,MySQL,爬虫经验,独立负责项目经验","生日福利,五险一金,节日福利,定期体检,零食下午茶,节假日加班费,年终奖,带薪年假,员工旅游,团建聚餐,股权激励,加班补助,包吃"
Python量化开发,广州,黄埔区,科学城,好推网络,13-25K·13薪,3-5年,大专,游戏,天使轮,20-99人,"网络爬虫技术,Linux,Django,Flask,Framework","节日福利,全勤奖,员工旅游,零食下午茶,年终奖,定期体检,五险一金,包吃,带薪年假"
python开发工程师,广州,天河区,龙洞,北京创智信科,9-14K,1-3年,本科,通信/网络设备,不需要融资,20-99人,,"带薪年假,团建聚餐,员工旅游,定期体检,绩效奖金,餐补,法定节假日三薪,节日福利,通讯补贴,零食下午茶,股票期权,年终奖,生日福利,五险一金"
python 开发工程师,北京,海淀区,花园桥,中创绿发,15-20K,5-10年,本科,大数据,未融资,20-99人,"Java,PyTorch,Django,接受无前端经验/技能,Redis,架构设计经验,Numpy,Python","五险一金,节日福利,绩效奖金,股票期权,带薪年假,年终奖,过节费"
Python 开发工程师（AI 智能化项目),广州,荔湾区,芳村,未来一手网络科技...,15-22K,3-5年,大专,电子商务,C轮,500-999人,"Python,Django,Flask,MySQL,Redis","股票期权,零食下午茶,餐补,团建聚餐,加班补助,节日福利,五险一金,带薪年假,年终奖,定期体检,员工旅游"
python/scratch讲师,上海,浦东新区,新场,火岩数字,6-11K·13薪,1年以内,本科,培训/辅导机构,不需要融资,20-99人,"讲师,少儿编程讲师,助教,幼教",
Python 自动化开发工程师,上海,长宁区,新华路,明曦信息科技,12-17K,1-3年,大专,互联网,不需要融资,20-99人,"Scrapy,爬虫经验,MySQL,Selenium,Python",五险一金
python后端开发工程师（Ai方向）,广州,,,广州奔流智能科技,240-300元/天,,本科,人工智能,天使轮,0-20人,"后端开发经验,Docker,PostgreSQL,Kafka,后端实习,Python","五险一金,股票期权,绩效奖金"
Python后端工程师,广州,天河区,体育中心,北京超数智能科技,11-20K,5-10年,本科,人工智能,未融资,20-99人,"MySQL,JavaScript","保底工资,底薪加提成,五险一金,绩效奖金"
Python 全栈开发,广州,海珠区,赤岗,RAXEN.CO,10-15K,3-5年,本科,企业服务,不需要融资,0-20人,"Python,JavaScript,Linux,Web端,后端开发,全栈开发,MySQL,Redis",
python后端开发工程师,广州,海珠区,江南大道,途世科技,20-25K·14薪,3-5年,本科,互联网,A轮,100-499人,"Python,Django,Flask,Docker,Kubernetes,Nginx,MySQL,Redis,PostgreSQL,Linux开发/部署经验,微服务经验,运维开发经验,LLM 模型,模型应用","团建聚餐,零食下午茶,五险一金,节日福利,带薪年假"
全栈开发工程师（Java、Uniapp、Python）,广州,南沙区,东涌,奥飞,8-10K·13薪,3-5年,本科,电力/热力/燃气/水利,未融资,20-99人,"Uni-app,Java,Spring/Spring Boot,Vue,VUE,HTML,计算机相关专业,全栈项目经验,TypeScript,JavaScript,MyBatis,全栈无侧重,MySQL/Redis/MongoDB,Python","年终奖,生日福利,节日福利,节假日加班费,五险一金,餐补,带薪年假,补充医疗保险,定期体检"
python讲师,广州,天河区,高唐,优享学,8-10K,1年以内,大专,在线教育,不需要融资,500-999人,"Java,CSS,Django,MySQL,HTML,Python","五险一金,生日福利,有无线网,保底工资,零食下午茶,绩效奖金,团建聚餐,法定节假日三薪,带薪年假,年终奖,员工旅游,节日福利"
Python后端中级程序员,广州,,,好布业软件,8-12K,1-3年,大专,计算机软件,未融资,20-99人,Python,"全勤奖,年终奖"
Python后端开发工程师（双休）,广州,番禺区,大学城,博瑞迪,12-18K·13薪,3-5年,本科,检测/认证/知识产权,B轮,100-499人,"数据仓库,Django,MySQL,Redis,MongoDB,Linux开发/部署经验,ELT,Python","结婚生子礼金,节日福利,定期体检,五险一金,绩效奖金,股票期权,包吃,生日福利,生日礼品,员工旅游,团建聚餐,意外险,餐补,加班补助,带薪年假"
中级 Python AI 开发工程师,苏州,昆山市,玉山,昆山梦宇,12-18K,3-5年,本科,互联网,未融资,0-20人,"Python,Django,MySQL,架构设计经验,Linux开发/部署经验",五险一金
python后端开发工程师,广州,番禺区,市桥,品推科技,8-10K,3-5年,大专,计算机软件,未融资,20-99人,"Python,计算机相关专业","底薪加提成,交通补助,节日福利,节假日加班费,团建聚餐,员工旅游,通讯补贴,带薪年假,生日福利,加班补助,零食下午茶,保底工资,绩效奖金,五险一金"
