职位,城市,区域,街道,公司,薪资,经验,学历,领域,融资,规模,技能要求,基本福利
python中级研发工程师,广州,番禺区,市桥,广州市全域数字化技术,15-25K,3-5年,本科,互联网,不需要融资,100-499人,"Docker,Django,MySQL,Redis,Linux开发/部署经验,有前端经验/技能,Python,Flask","年终奖,节日福利,宿舍有空调,包住,带薪年假,五险一金,生日福利"
python大模型应用开发,广州,天河区,车陂,梦云科技,11-22K,3-5年,本科,电子商务,未融资,0-20人,"Python,Docker,MySQL,langgraph,langchain,python",
Python（AI研发）,杭州,西湖区,西溪,卓越际联科技有限公司,10-12K,1-3年,本科,互联网,不需要融资,1000-9999人,"Django,MySQL,Python",五险一金
Python后端开发工程师,广州,番禺区,石碁,广州甲龙,7-12K·14薪,1-3年,本科,进出口贸易,不需要融资,20-99人,"GIT,NoSQL,Django,PostgreSQL,MongoDB,Flask","生日福利,绩效奖金,带薪年假,全勤奖,节日福利,保底工资,五险一金,住房补贴,年终奖,零食下午茶"
后端开发工程师（Python方向）,广州,番禺区,长隆,引力波信息科技,12-20K·13薪,3-5年,本科,互联网,B轮,20-99人,"Golang,分布式经验,PostgreSQL,Redis,Docker,微服务经验,Django,MySQL,运维开发经验,MongoDB,架构设计经验,Linux开发/部署经验,Python,Flask,Kubernetes","交通补助,团建活动,零食下午茶,年终奖,节日福利,员工旅游,股票期权,定期体检,五险一金,带薪年假"
python实习生,广州,番禺区,大学城,美豪科技,150-200元/天,,本科,社交网络与媒体,,20-99人,"Python,MySQL,线上实习",
Python,广州,天河区,棠下,泳华,5-7K·14薪,1年以内,大专,电子商务,未融资,20-99人,"Python,Docker,MySQL,Linux开发/部署经验,机器学习经验","保底工资,绩效奖金,年终奖,五险一金"
python/软通自研项目,广州,黄埔区,九佛,软通动力,15-30K,3-5年,本科,计算机软件,已上市,10000人以上,"PyTorch,分布式经验,Docker,微服务经验,MySQL,Kafka,Redis,架构设计经验,Linux开发/部署经验,Python,Kubernetes,HBase","五险一金,生日福利,免费班车,团建活动,通讯补贴,零食下午茶,带薪年假,节日福利,定期体检,交通补助,补充医疗保险,加班补助"
Python开发工程师,广州,天河区,小新塘,广州图灵科技,10-15K,3-5年,本科,计算机软件,未融资,20-99人,"C++,Django,MySQL,Hadoop,机器学习经验,Kafka,接受无前端经验/技能,其他,Spark,Python","五险一金,年终奖,节日福利,股票期权,假日安排,培训制度,聚会,员工旅游"
python后端开发工程师,广州,黄埔区,鱼珠,千熙科技,8-12K,1-3年,本科,计算机软件,不需要融资,20-99人,"分布式经验,Django,MySQL,Python","五险一金,年终奖,餐补,节日福利,带薪年假"
通用软件开发工程师（c/c++/java/python）,成都,郫都区,红光镇,勇冠睿智,16-30K,经验不限,本科,互联网,未融资,20-99人,"C++,C语言,数据结构,Python","补充医疗保险,节日福利,带薪年假,五险一金,定期体检,零食下午茶"
初级python开发,广州,天河区,棠下,广州星织互娱网络,10-15K·13薪,1年以内,本科,广告营销,不需要融资,20-99人,,"包吃,绩效奖金,五险一金"
Python,广州,,,卡姿兰集团,9-14K·13薪,1-3年,大专,日化,不需要融资,1000-9999人,"Python,Redis,MySQL,分布式经验,云计算经验,AI,agent,LLM,电商数据","绩效奖金,节日福利,五险一金,带薪年假,员工旅游,加班补助,定期体检,全勤奖,餐补,年终奖,定期团建"
python,广州,黄埔区,高唐,英荟烁,10-15K·13薪,1年以内,大专,在线教育,不需要融资,100-499人,"后端,爬虫,数据开发,Python,Java,C/C++,计算机相关专业,数学/统计相关专业,服务端开发经验,应届毕业生,兼职","节日福利,带薪年假,团建聚餐,零食下午茶,五险一金,住房补贴,定期体检,高温补贴,工龄奖,年终奖,免费班车,补充医疗保险,员工旅游,有无线网,保底工资,全勤奖,节假日加班费,意外险,法定节假日三薪,包吃"
python淘宝京东高级开发工程师,广州,番禺区,大石,周口东柳文化传媒,20-26K·13薪,1-3年,硕士,互联网,,0-20人,"爬虫经验,Django,MySQL,Python",
Python,深圳,南山区,科技园,纬创软件,12-14K,1-3年,本科,计算机软件,已上市,1000-9999人,,"补充医疗保险,员工旅游,团建聚餐,带薪年假,五险一金,定期体检,零食下午茶,节日福利"
Python,广州,白云区,黄石,广州协方差科技,2-3K,经验不限,学历不限,互联网,天使轮,0-20人,"Django,Pandas,MySQL,Redis,Tornado,Numpy,Python,Flask",五险一金
python开发   双休/行业假,广州,天河区,棠下,博彦科技,14-18K,1-3年,本科,计算机软件,已上市,10000人以上,"MySQL,量化交易开发经验,Python,Flask,投资交易系统","五险一金,定期体检,年终奖,带薪年假,免费班车,节日福利"
python开发工程师（广州外派岗）,广州,白云区,白云大道,中技数科,12-18K,5-10年,本科,计算机软件,未融资,20-99人,"Django,MySQL,Redis,MongoDB,Python,Flask",五险一金
PYTHON分析工程师,广州,黄埔区,中心城,如期生物,5-6K·13薪,经验不限,本科,其他专业服务,,0-20人,"Python,其他,Django,MySQL",
对日高级软件开发工程师JAVA/C/Python,广州,天河区,棠下,睿亭信息咨询,15-30K,3-5年,大专,咨询,未融资,20-99人,"C#,Java,C++,不接受居家办公,MySQL,PHP,日语沟通能力,Spring,Python","生日福利,加班补助,保底工资,绩效奖金,年终奖"
初级 Python 工程师（AI 大模型训练方向）,郑州,金水区,龙子湖,郑州泉行智数科技,7-9K,1-3年,本科,互联网,未融资,100-499人,Python,"节日福利,零食下午茶,保底工资,底薪加提成,绩效奖金,加班补助"
python后端开发工程师,广州,海珠区,琶洲,途南贸易,12-20K,1-3年,大专,电子商务,,20-99人,"Python,Django,Docker,Selenium,PostgreSQL,MySQL,Linux开发/部署经验,爬虫经验,运维开发经验",
兼职——AI+Python开发工程师,广州,海珠区,江南大道,魔方网表,10-15K,3-5年,本科,企业服务,未融资,20-99人,Python,
软件开发工程师(Java/Python/C/C++/JS),广州,,,某大型计算机软件及通信技术公司（北京）,18-25K·14薪,经验不限,本科,计算机软件,不需要融资,10000人以上,"Java,Python,C,C++,JS","团建聚餐,交通补助,零食下午茶,绩效奖金,带薪年假,补充医疗保险,夜班补助,免费班车,年终奖,保底工资,生日福利,股票期权,离职补偿,定期体检,法定节假日三薪,员工旅游,节日福利,五险一金,加班补助,节假日加班费"
Python,广州,番禺区,市桥,广州品色科技有限公司,100-120元/时,3-5年,硕士,智能硬件,,20-99人,"PyTorch,架构设计经验,Python",
Python开发工程师,广州,海珠区,凤阳,MICAS,10-15K,3-5年,本科,电子商务,A轮,100-499人,"网络爬虫技术,Scrapy,NoSQL,Django,分布式技术,Redis,MongoDB,Flask","保底工资,五险一金,生日福利,员工旅游,餐补,定期体检,带薪年假,交通补助,绩效奖金,加班补助,团建聚餐,零食下午茶,节日福利"
python实习生,广州,天河区,体育中心,千幻大数据,150-200元/天,,本科,大数据,,0-20人,"Python,Pandas,Selenium,Redis,MongoDB",
Python技术合伙人 ,广州,天河区,高唐,萱苔科技,8-12K,3-5年,本科,计算机软件,,20-99人,"分布式经验,PostgreSQL,Kafka,Redis,Numpy,爬虫经验,PyTorch,微服务经验,Django,MySQL,MongoDB,架构设计经验,Linux开发/部署经验,Python,Flask",
Python,广州,白云区,金沙洲,华为云计算,15-30K·14薪,经验不限,本科,计算机服务,不需要融资,10000人以上,"Python,Java,C++,Docker,PyTorch,Redis,Hadoop,MySQL,Linux开发/部署经验,分布式经验,微服务经验,爬虫经验,机器学习经验","法定节假日三薪,节日福利,带薪年假,保底工资,员工旅游,意外险,交通补助,零食下午茶,团建聚餐,加班补助,定期体检,夜班补助,免费班车,生日福利,住房补贴,五险一金,年终奖,节假日加班费,绩效奖金,补充医疗保险"
Python/C++开发工程师,绍兴,,,斐越数字科技,6-11K,1-3年,本科,移动互联网,,20-99人,"Java,C++",
python开发工程师,广州,白云区,白云大道,京北方,14-18K,3-5年,本科,互联网金融,已上市,10000人以上,"Docker,MySQL,Python","带薪年假,五险一金,绩效奖金,餐补,节日福利,保底工资,员工旅游,团建聚餐"
Python  AI开发,广州,白云区,嘉禾,金扬化工,150-200元/天,,本科,化工,不需要融资,0-20人,,"高温补贴,定期体检,五险一金,全勤奖,员工旅游,免费工装,生日福利,带薪年假,交通补助,绩效奖金,通讯补贴,餐补,团建聚餐,节日福利,工龄奖,底薪加提成,零食下午茶,年终奖"
Python,广州,海珠区,琶洲,广州悦羚设计工程,9-11K,3-5年,大专,装修装饰,未融资,20-99人,"PostgreSQL,Python,Flask",五险一金
初级python开发工程师,广州,天河区,元岗,铭太科技,7-12K,1-3年,本科,计算机软件,B轮,100-499人,"PyTorch,MySQL,Oracle,Python","带薪年假,五险一金,年终奖"
python 大数据,广州,黄埔区,镇龙,四川几点钟科技,15-20K,经验不限,本科,培训/辅导机构,,100-499人,"Python,Java,HBase,Spark,Hadoop",
Python,广州,白云区,白云大道,广东无变科技信息,15-16K,1-3年,本科,新零售,未融资,100-499人,爬虫,"带薪年假,绩效奖金,零食下午茶,股票期权,员工旅游,法定节假日三薪,团建聚餐,餐补,生日福利,节日福利,安迁计划,免费工装,五险一金,员工持股计划,交通补助,年终奖"
python后端开发工程师,广州,天河区,棠下,一起赢,10-15K,1-3年,本科,游戏,不需要融资,100-499人,"Elasticsearch,Docker,Django,MySQL,Kafka,Redis,MongoDB,Python","节日福利,零食下午茶,五险一金,生日福利,餐补,全勤奖,带薪年假,团建聚餐"
Python,广州,白云区,人和,祖与乐,200-300元/天,,本科,批发/零售,未融资,20-99人,"机器学习经验,ai,Redis,其他,大模型,llm,llama,爬虫经验,微服务经验,rag,MongoDB,Linux开发/部署经验,Python","绩效奖金,生日福利,底薪加提成,住房补贴,通讯补贴,节日福利,餐补,交通补助,年终奖,补充医疗保险,保底工资,全勤奖,工龄奖,零食下午茶,五险一金,员工旅游,团建聚餐,带薪年假"
python后端开发工程师,广州,天河区,猎德,大麦电商,8-10K,1-3年,本科,电子商务,不需要融资,100-499人,"分布式经验,微服务经验,Django,机器学习经验,MySQL,架构设计经验,Linux开发/部署经验,Flask,Python","节日福利,补充医疗保险,零食下午茶,五险一金,员工旅游,带薪年假,定期体检,年终奖,股票期权,运动俱乐部"
python开发工程师,广州,,,云积软件,11-20K,3-5年,本科,计算机软件,未融资,100-499人,"深度学习,目标检测,多模态算法,AI,图像生成,优秀开源项目经历,大模型训练,动作识别,图像处理库（OpenCV等）,人像算法,图像识别,行为分析,Python,模型加速/性能优化","交通补助,节假日加班费,绩效奖金,团建聚餐,法定节假日三薪,带薪年假,通讯补贴,保底工资,零食下午茶,节日福利,定期体检,员工旅游,五险一金"
应用开发工程师-Python/JAVA-ai赛道,广州,海珠区,琶洲,上海勤穆网络科技,13-26K·13薪,经验不限,本科,互联网,,20-99人,"Python,Java,Django,MySQL,Redis,团队管理经验,架构设计经验,Linux开发/部署经验,分布式经验,prompt","交通补助,底薪加提成,五险一金,餐补"
Python开发工程师-爬虫,广州,天河区,东圃,微创软件,15-20K,1-3年,本科,计算机软件,不需要融资,10000人以上,,"定期体检,年终奖,节日福利,员工旅游,免费班车,补充医疗保险,零食下午茶,五险一金,带薪年假"
Python,广州,白云区,白云大道,贵州宇晶科技有限公司,5-6K,经验不限,大专,咨询,不需要融资,0-20人,"Golang,C++,Java,Python,Django,Pandas,Docker,MySQL,Oracle,PostgreSQL","员工旅游,生日福利,团建聚餐,有无线网,零食下午茶,节日福利,全勤奖,保底工资,底薪加提成,年终奖"
后端开发(js/Python),厦门,思明区,莲前,星悦科技,8-13K·13薪,1-3年,本科,互联网,未融资,20-99人,"Python,其他,MySQL,其他,架构设计经验,爬虫经验","零食下午茶,加班补助,年终奖,节日福利,员工旅游,五险一金,全勤奖"
数据分析师（SQL/Python）,广州,黄埔区,科学城,方舟健客,11-15K,1-3年,本科,医疗健康,已上市,1000-9999人,"SQL,Python,SPSS,SAS,Tableau,数学/统计相关专业,计算机相关专业,数据分析/挖掘经验,数据分析","生日福利,五险一金,节日福利,团建聚餐,带薪年假,宿舍有空调"
Python 全栈工程师（前后端）,武汉,洪山区,光谷东,武汉慧观,15-20K·13薪,3-5年,本科,医疗器械,A轮,20-99人,"PyTorch,QT,Docker,Redis,Python,Flask","生日福利,全勤奖,带薪年假,员工旅游,股票期权,团建聚餐,年终奖,节日福利,五险一金,绩效奖金,零食下午茶,节假日加班费,加班补助"
高级python工程师（远程办公）,广州,天河区,东圃,云合智聘,40-70K,5-10年,本科,人力资源服务,,0-20人,"Elasticsearch,MySQL,Python",
Python技术经理（RPA方向）,广州,白云区,三元里,欧博,15-25K,3-5年,大专,电子商务,未融资,1000-9999人,"Python,Numpy,Pandas,Docker,PyTorch,Selenium,MySQL,团队管理经验,架构设计经验,爬虫经验,运维开发经验,机器学习经验,RPA技术经理,python技术经理","餐补,包吃"
Python,广州,海珠区,华洲,汇尚网络科技,9-12K,1-3年,大专,电子商务,未融资,100-499人,"Pandas,MySQL,Python","五险一金,节日福利,绩效奖金,年终奖,餐补,法定节假日三薪,定期体检,员工旅游,补充医疗保险,带薪年假"
python unity开发,郑州,管城回族区,经开区,点蓝科技,8-11K,3-5年,本科,计算机软件,未融资,20-99人,"Python,C#,MySQL,Redis","节日福利,底薪加提成,高温补贴,加班补助,五险一金,团建聚餐,全勤奖"
Python开发（深圳办公）,广州,天河区,石牌,中软国际,9-13K,1-3年,本科,计算机软件,已上市,10000人以上,"Python,MySQL","节假日加班费,五险一金,年终奖,节日福利,带薪年假,零食下午茶,定期体检,免费班车"
Python全栈开发,广州,荔湾区,东塱,箭头租赁,9-11K,1-3年,大专,电子商务,未融资,20-99人,"爬虫经验,Pandas,MySQL,架构设计经验,Python","带薪年假,团建聚餐,节日福利,员工旅游,零食下午茶,保底工资,底薪加提成,绩效奖金,工龄奖,五险"
Python AI,广州,天河区,五山,即合智能科技,6-11K,3-5年,大专,计算机软件,天使轮,0-20人,"Python,C++,TensorFlow,MySQL,Redis,机器学习经验","五险一金,底薪加提成,绩效奖金"
python开发实习生,广州,天河区,珠江新城,星鼎,180-240元/天,,本科,信息安全,不需要融资,20-99人,"Golang,Java,PostgreSQL,Redis,爬虫经验,Docker,Elasticsearch,微服务经验,Django,MySQL,运维开发经验,MongoDB,Python,Flask,Kubernetes","节日福利,交通补助,生日福利,团建聚餐,零食下午茶,带薪年假,五险一金"
python爬虫开发工程师,广州,海珠区,琶洲,广州墨尔智慧科技,150-200元/天,,本科,在线教育,A轮,100-499人,"python,爬虫","年终奖,绩效奖金,五险一金,定期体检"
Python,广州,海珠区,赤岗,腾云科技,4-9K·13薪,经验不限,大专,计算机服务,,0-20人,"MongoDB,Oracle,SQL Server,Flask,大数据,Django,SQL",
Python,广州,,,某大型自动化设备公司,20-25K·13薪,1-3年,本科,自动化设备,不需要融资,100-499人,python,"交通补助,带薪年假,绩效奖金,意外险,员工旅游,生日福利,节日福利,通讯补贴,底薪加提成,保底工资,五险一金,免费班车,团建聚餐,年终奖,住房补贴,包吃,补充医疗保险,定期体检"
python开发工程师,广州,海珠区,华洲,晔生科技,8-10K,3-5年,本科,人工智能,未融资,20-99人,"Django,MySQL,架构设计经验,Python","员工旅游,节日福利,零食下午茶,年终奖,五险一金,餐补,带薪年假,交通补助,加班补助,补充医疗保险"
Python 后端开发工程师,北京,海淀区,苏州桥,北京赛博创力科技,7-12K,1-3年,大专,人工智能,未融资,0-20人,"Docker,Django,PostgreSQL,MySQL,Redis,架构设计经验,Linux开发/部署经验,Python,Flask","有无线网,年终奖,绩效奖金,员工旅游,团建聚餐,五险一金"
python开发,广州,番禺区,市桥,广州市顶科电子科技,6-7K,经验不限,本科,电子/硬件开发,未融资,20-99人,"PyTorch,MySQL,机器学习经验,Linux开发/部署经验,图像识别,Python","餐补,包吃,通讯补贴,工龄奖,宿舍有空调,加班补助,零食下午茶,年终奖,员工旅游,节日福利,团建聚餐,五险,全勤奖"
python开发工程师,广州,黄埔区,科学城,天锐医健,8-12K,1-3年,大专,医疗健康,未融资,20-99人,Python,"五险一金,带薪年假,节日福利,生日福利,餐补,年终奖,通讯补贴,补充医疗保险"
中级python开发工程师,广州,海珠区,新港西路沿线,宏算科技,10-15K,经验不限,本科,计算机软件,天使轮,100-499人,"Golang,Django,MySQL,机器学习经验,Python","员工旅游,定期体检,股票期权,意外险,零食下午茶,节日福利,五险一金,加班补助"
Python WEB工程师,广州,海珠区,昌岗,优德,4-8K,经验不限,大专,计算机软件,未融资,0-20人,"PyTorch,MySQL,运维开发经验,PHP,Redis,MongoDB,后端开发,数据库,Python,Flask,TensorFlow","五险一金,全勤奖,住房补贴,年终奖,股票期权,交通补助,零食下午茶,节日福利,加班补助,通讯补贴"
python 数据采集AI 工程师,广州,白云区,嘉禾,柚柚兔,18-30K,3-5年,本科,计算机软件,未融资,20-99人,,"五险一金,交通补助,苹果设备办公,绩效奖金,零食下午茶,年终奖,全勤奖,团建聚餐,底薪加提成,节日福利,保底工资"
Python程序员,广州,天河区,珠江新城,易联达,6-10K,经验不限,本科,互联网金融,不需要融资,0-20人,Python,五险一金
PYTHON 开发工程师,广州,番禺区,大学城,远思基金,15-30K,在校/应届,本科,基金,不需要融资,0-20人,"erp,PostgreSQL,Pandas,MySQL,量化投资,架构设计经验,交易系统,Numpy,量化交易开发经验,Python","带薪年假,五险一金,绩效奖金,年终奖,团建聚餐"
python开发工程师,广州,南沙区,黄阁,广州灵动云科技,6-8K,1-3年,大专,计算机软件,,0-20人,"Python,Java,Django,MySQL,Redis,微服务经验,量化交易开发经验,Aigc,ai工作流",
Python,广州,白云区,嘉禾,广州宇垣云创科技,12-17K,5-10年,学历不限,计算机软件,天使轮,0-20人,"Nginx,PyTorch,Docker,Django,MySQL,Redis,Oracle,Python,Flask","带薪年假,五险一金"
Python（短期三个月）,广州,海珠区,琶洲,广东六鲟科技有限公司,12-18K,5-10年,本科,计算机软件,未融资,0-20人,"Python,Django,Redis,PostgreSQL","节日福利,五险一金"
python后端开发工程师,广州,黄埔区,中心城,广东中稞穗信技术研究,6-11K,1-3年,本科,互联网,不需要融资,0-20人,"SQL,微服务架构,容器技术,分布式技术,消息队列,数据结构,架构师,Flask",五险一金
中高级python开发工程师-双休/线上面,广州,番禺区,大石,美云,12-14K,5-10年,大专,计算机服务,未融资,500-999人,"fastapi,分布式经验,MySQL,机器学习经验,Redis,云计算经验,MongoDB,Spark,gunicorn,Python,Flask","春节假期,加班补助,零食下午茶,团建活动,康体资源,年终奖,带薪年假,生日福利,补充医疗保险,五险一金,免费班车,法定节假日三薪,节假日加班费,特色饭堂,定期体检,团建聚餐,节日假期,节日福利,意外险,餐补"
Python开发工程师,广州,天河区,体育中心,趣玛贸易,7-12K,1-3年,本科,电子商务,未融资,100-499人,,"定期体检,绩效奖金,全勤奖,员工旅游,加班补助,年终奖,零食下午茶,团建聚餐,带薪年假,节日福利,五险一金"
Python（RAG/Agent）短期到三月底,北京,海淀区,上地,北京能科瑞元有限公司,16-20K,3-5年,大专,互联网,已上市,1000-9999人,"Python,Django,PostgreSQL,机器学习经验,FastAPI,Pydantic","带薪年假,补充医疗保险,五险一金,交通补助,通讯补贴,年终奖,餐补"
Aigc研发工程师（Python）,广州,海珠区,琶洲,HollyGlobe,15-20K,1-3年,本科,互联网,天使轮,20-99人,"PostgreSQL,MySQL,Coze,Dify,Redis,RAG,MongoDB,Linux开发/部署经验,Cursor,Python,Flask","五险一金,生日福利,绩效奖金,带薪年假,团建聚餐,零食下午茶,股票期权,年终奖,底薪加提成"
Python,广州,天河区,猎德,从简智能科技,12-15K,1-3年,本科,计算机软件,未融资,0-20人,"分布式经验,PostgreSQL,机器学习经验,后端,计算机相关专业,PyTorch,微服务经验,Django,Pandas,全栈开发经验,运维开发经验,Flask,TensorFlow,Python,数学/统计相关专业","全勤奖,生日福利,节假日加班费,加班补助,团建聚餐,员工旅游,带薪年假,年终奖,工龄奖,绩效奖金,零食下午茶,底薪加提成,节日福利,交通补助,五险一金"
Python后端开发工程师,广州,天河区,石牌,徽通科技集团有限公司,12-14K·13薪,3-5年,本科,银行,,1000-9999人,"Docker,PostgreSQL,MySQL,运维开发经验,Oracle,Linux开发/部署经验,Python,Kubernetes","团建聚餐,零食下午茶"
AI开发工程师(Python/Go，RAG方向),广州,,,某人工智能公司,40-60K,3-5年,本科,人工智能,天使轮,0-20人,"Python,Golang,MySQL,Agent","五险一金,餐补,年终奖,带薪年假"
Python 后端开发（电商智能体）,杭州,余杭区,仓前,杭州三陆五,15-20K,5-10年,大专,互联网,,20-99人,"Golang,分布式经验,电商智能体,微服务经验,MySQL,机器学习经验,Kafka,Redis,+llm大模型,java.go.python,Python",
python工程师,广州,白云区,太和,广东同欣智能科技,4-8K,1年以内,大专,互联网,未融资,20-99人,"后端,Python","宿舍有空调,团建聚餐,保底工资,五险一金,底薪加提成,有无线网,包住,绩效奖金"
python ai开发,广州,,,某中型学术/科研公司,30-50K,3-5年,本科,学术/科研,不需要融资,500-999人,"Python,机器学习经验,Ai大模型,Agent,Ai","餐补,定期体检,补充医疗保险,年终奖,住房补贴,五险一金,绩效奖金,意外险"
python,广州,白云区,嘉禾,百条文化传媒,10-15K,1年以内,大专,互联网,不需要融资,20-99人,"Golang,爬虫经验,安卓逆向,js逆向,Python","全勤奖,团建聚餐,加班补助,员工旅游,年终奖,绩效奖金,底薪加提成,带薪年假,零食下午茶"
python高级开发工程师,广州,海珠区,工业大道,佩美,15-20K·13薪,3-5年,本科,人工智能,天使轮,20-99人,"英美留学生,欧洲留学生,Python,Golang,Java,Docker,PyTorch,TensorFlow,MySQL,Redis,PostgreSQL,架构设计经验,Linux开发/部署经验,机器学习经验,AI,机器学习,人工智能","节日福利,零食下午茶,补充医疗保险,五险一金,全勤奖,加班补助,股票期权,保底工资,年终奖,餐补,员工旅游"
Python应用开发工程师,广州,越秀区,华乐,富图宝,8-12K·13薪,1-3年,本科,批发/零售,未融资,100-499人,,"年终奖,全勤奖,五险,团建聚餐,节日福利,员工旅游,生日福利,免费工装,带薪年假,工龄奖,绩效奖金,包吃"
python讲师,广州,天河区,东圃,广州智希信息咨询,10-15K,3-5年,本科,计算机软件,A轮,100-499人,"Python,Django,Numpy,Pandas","不加班,时间自由,包住,员工旅游,五险一金"
